Player 1 Name,Player 2 Name,Total Individual Minutes,Minutes Played Together,% Of Mins Played Together
Chris Paul,DeAndre Jordan,67.5,30.75,91.1111111111
Stephen Curry,Draymond Green,68.1,30.9841269841,90.995967648
Karl-Anthony Towns,Ricky Rubio,62,27.0806451613,87.3569198751
Kawhi Leonard,LaMarcus Aldridge,63.3,27.350877193,86.4166735955
Pau Gasol,Jimmy Butler,69.6,30,86.2068965517
Kevin Durant,Russell Westbrook,70.6,29.9672131148,84.8929549993
DeMarcus Cousins,Rajon Rondo,70.2,29.7735849057,84.8250282213
Andre Drummond,Reggie Jackson,63.9,27,84.5070422535
John Wall,Marcin Gortat,65.9,27.5901639344,83.7334262046
Kemba Walker,Nicolas Batum,71.6,29.1578947368,81.4466333431
Brook Lopez,Thaddeus Young,67.2,27.2878787879,81.2139249639
LeBron James,Kevin Love,67.9,27.5573770492,81.1704773172
Derrick Favors,Gordon Hayward,68.8,27.306122449,79.3782629331
Paul George,Ian Mahinmi,60.3,23.2931034483,77.2573912049
James Harden,Dwight Howard,70.3,26.298245614,74.8171994709
Greg Monroe,Giannis Antetokounmpo,65.5,24.453125,74.6660305344
Kyle Lowry,Jonas Valanciunas,63.1,23.2765957447,73.7768486361
Carmelo Anthony,Kristaps Porzingis,63.2,22.9666666667,72.6793248945
Nikola Vucevic,Victor Oladipo,64.3,22.8823529412,71.1737261001
Damian Lillard,CJ McCollum,70.5,23.4833333333,66.6193853428
Anthony Davis,Jrue Holiday,63.4,20.2909090909,64.0091769429
Zach Randolph,Marc Gasol,63.8,20.3829787234,63.8964850263
Paul Millsap,Al Horford,64.8,20.0597014925,61.9126589276
Dirk Nowitzki,Zaza Pachulia,58.9,17.45,59.2529711375
Jahlil Okafor,Nerlens Noel,59.1,15.8181818182,53.5302261191
Hassan Whiteside,Chris Bosh,62.4,16.2666666667,52.1367521368
Brandon Knight,Devin Booker,62,15.3235294118,49.430740038
Isaiah Thomas,Evan Turner,59.6,13.5441176471,45.4500592183
Julius Randle,Lou Williams,56.9,12.8620689655,45.2093812496
Will Barton,Kenneth Faried,54.4,9.8928571429,36.3707983193
