,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,26,28.5714285714,14,0.170731707317,4,0.0487804878049,10,0.121951219512,0.0,82,F-C,0.109756097561,0.642857015133,Al,201143,Horford,15,0.0,9,14,0.170731707317,0.0,28.5714285714,0.0,1610612737,Atlanta Hawks,ATL,Atlanta,1.215280056,310,32.1428571429,Defensive,2015,Reg
1,107,30.0,10,0.833333333333,3,0.25,7,0.583333333333,15.3846153846,12,G,0.916666666667,0.846153974533,Alan,101187,Anderson,6,0.0,11,13,1.08333333333,15.3846153846,38.4615384615,7.69230769231,1610612764,Washington Wizards,WAS,Washington,17.3332996368,229,40.0,Defensive,2015,Reg
2,175,50.0,14,0.297872340426,7,0.148936170213,7,0.148936170213,0.0,47,C-F,0.297872340426,0.933332979679,Al,2744,Jefferson,25,0.0,14,15,0.31914893617,0.0,46.6666666667,6.66666666667,1610612766,Charlotte Hornets,CHA,Charlotte,2.96443009377,160,50.0,Defensive,2015,Reg
3,276,47.8260869565,23,0.741935483871,11,0.354838709677,12,0.387096774194,7.40740740741,31,G,1.0,1.14814996719,Alec,202692,Burks,10,0.0,31,27,0.870967741935,7.40740740741,48.1481481481,7.40740740741,1610612762,Utah Jazz,UTA,Utah,11.0656003952,59,58.6956521739,Defensive,2015,Reg
4,139,40.0,55,0.670731707317,22,0.268292682927,33,0.40243902439,4.7619047619,82,F,0.682926829268,0.888889014721,Al Farouq,202329,Aminu,8,0.0,56,63,0.768292682927,4.7619047619,39.6825396825,7.93650793651,1610612757,Portland Trail Blazers,POR,Portland,8.70166015625,195,46.3636363636,Defensive,2015,Reg
5,113,33.3333333333,18,0.260869565217,6,0.0869565217391,12,0.173913043478,9.52380952381,69,G,0.260869565217,0.857142984867,Aaron,201166,Brooks,0,0.0,18,21,0.304347826087,9.52380952381,38.0952380952,4.7619047619,1610612741,Chicago Bulls,CHI,Chicago,5.15970993042,220,38.8888888889,Defensive,2015,Reg
6,24,28.5714285714,28,0.358974358974,8,0.102564102564,20,0.25641025641,10.8108108108,78,F,0.294871794872,0.621622025967,Aaron,203932,Gordon,0,2.7027027027,23,37,0.474358974359,10.8108108108,29.7297297297,16.2162162162,1610612753,Orlando Magic,ORL,Orlando,5.9485502243,312,32.1428571429,Defensive,2015,Reg
7,85,42.8571428571,7,0.333333333333,3,0.142857142857,4,0.190476190476,10.0,21,G-F,0.380952380952,0.800000011921,Axel,1626253,Toupane,6,0.0,8,10,0.47619047619,10.0,40.0,20.0,1610612743,Denver Nuggets,DEN,Denver,8.19672012329,250,42.8571428571,Defensive,2015,Reg
8,146,44.4444444444,9,0.113924050633,4,0.0506329113924,5,0.0632911392405,10.0,79,F-C,0.113924050633,0.899999976158,Greg,202328,Monroe,15,0.0,9,10,0.126582278481,0.0,50.0,0.0,1610612749,Milwaukee Bucks,MIL,Milwaukee,1.2853499651,188,44.4444444444,Defensive,2015,Reg
9,269,50.0,12,1.33333333333,6,0.666666666667,6,0.666666666667,7.14285714286,9,,1.77777777778,1.14286005497,James,203516,Ennis,4,0.0,16,14,1.55555555556,7.14285714286,50.0,7.14285714286,1610612740,New Orleans Pelicans,NOP,NewOrleans,15.3845996857,62,62.5,Defensive,2015,Reg
