,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,225,50.0,10,0.833333333333,5,0.416666666667,5,0.416666666667,23.8095238095,12,G,1.5,0.857142984867,Alan,101187,Anderson,6,0.0,18,21,1.75,23.8095238095,42.8571428571,28.5714285714,1610612764,Washington Wizards,WAS,Washington,28.0,114,50.0,Defensive,2015,Reg
1,109,28.9473684211,76,2.45161290323,22,0.709677419355,54,1.74193548387,15.8415841584,31,G,2.48387096774,0.762376010418,Alec,202692,Burks,10,0.990099009901,77,101,3.25806451613,14.8514851485,36.6336633663,9.90099009901,1610612762,Utah Jazz,UTA,Utah,41.3933982849,230,32.2368421053,Defensive,2015,Reg
2,16,32.1428571429,28,0.358974358974,9,0.115384615385,19,0.24358974359,14.0,78,F,0.371794871795,0.579999983311,Aaron,203932,Gordon,0,0.0,29,50,0.641025641026,14.0,32.0,30.0,1610612753,Orlando Magic,ORL,Orlando,8.03859043121,323,32.1428571429,Defensive,2015,Reg
3,197,43.3333333333,120,1.46341463415,52,0.634146341463,68,0.829268292683,9.03225806452,82,F,1.58536585366,0.838710010052,Al Farouq,202329,Aminu,8,2.58064516129,130,155,1.89024390244,9.03225806452,39.3548387097,16.1290322581,1610612757,Portland Trail Blazers,POR,Portland,21.4088001251,142,45.8333333333,Defensive,2015,Reg
4,133,38.2716049383,162,2.34782608696,62,0.898550724638,100,1.44927536232,10.1941747573,69,G,2.33333333333,0.781552970409,Aaron,201166,Brooks,0,1.45631067961,161,206,2.98550724638,8.25242718447,37.8640776699,12.6213592233,1610612741,Chicago Bulls,CHI,Chicago,50.6142997742,206,41.049382716,Defensive,2015,Reg
5,5,17.6470588235,17,1.0625,3,0.1875,14,0.875,5.26315789474,16,G,0.5,0.421052992344,CJ,203912,Wilcox,30,0.0,8,19,1.1875,5.26315789474,21.0526315789,5.26315789474,1610612746,Los Angeles Clippers,LAC,LAClippers,32.7585983276,334,17.6470588235,Defensive,2015,Reg
6,34,27.2727272727,11,1.22222222222,3,0.333333333333,8,0.888888888889,14.2857142857,9,F,1.0,0.642857015133,Jordan,203895,McRae,12,0.0,9,14,1.55555555556,14.2857142857,35.7142857143,7.14285714286,1610612739,Cleveland Cavaliers,CLE,Cleveland,37.8377990723,305,31.8181818182,Defensive,2015,Reg
7,275,45.9459459459,37,2.64285714286,17,1.21428571429,20,1.42857142857,12.7659574468,14,G,3.07142857143,0.914893984795,Spencer,203915,Dinwiddie,8,4.25531914894,43,47,3.35714285714,12.7659574468,44.6808510638,12.7659574468,1610612765,Detroit Pistons,DET,Detroit,69.1175994873,64,47.2972972973,Defensive,2015,Reg
8,6,22.2222222222,9,0.147540983607,2,0.0327868852459,7,0.114754098361,9.09090909091,61,F,0.0819672131148,0.454544991255,Bobby,1626171,Portis,5,0.0,5,11,0.180327868852,9.09090909091,27.2727272727,9.09090909091,1610612741,Chicago Bulls,CHI,Chicago,2.39650988579,333,22.2222222222,Defensive,2015,Reg
9,0,12.5,8,0.666666666667,1,0.0833333333333,7,0.583333333333,0.0,12,F,0.166666666667,0.142857000232,Damien,203996,Inglis,17,0.0,2,14,1.16666666667,0.0,7.14285714286,42.8571428571,1610612749,Milwaukee Bucks,MIL,Milwaukee,25.9258995056,339,12.5,Defensive,2015,Reg
10,136,36.3636363636,11,1.0,4,0.363636363636,7,0.636363636364,7.14285714286,11,F,1.0,0.785713970661,Jordan,202706,Hamilton,25,0.0,11,14,1.27272727273,7.14285714286,35.7142857143,14.2857142857,1610612740,New Orleans Pelicans,NOP,NewOrleans,15.9090995789,202,40.9090909091,Defensive,2015,Reg
11,58,35.0,20,2.22222222222,7,0.777777777778,13,1.44444444444,7.69230769231,9,,2.0,0.692308008671,James,203516,Ennis,4,0.0,18,26,2.88888888889,3.84615384615,34.6153846154,15.3846153846,1610612740,New Orleans Pelicans,NOP,NewOrleans,28.5713996887,280,37.5,Defensive,2015,Reg
12,29,33.3333333333,21,1.10526315789,7,0.368421052632,14,0.736842105263,9.375,19,G,1.05263157895,0.625,Delon,1626153,Wright,55,0.0,20,32,1.68421052632,6.25,31.25,25.0,1610612761,Toronto Raptors,TOR,Toronto,45.070400238,310,33.3333333333,Defensive,2015,Reg
13,2,0.0,8,0.307692307692,0,0.0,8,0.307692307692,10.0,26,F,0.0769230769231,0.20000000298,Damjan,204014,Rudez,10,0.0,2,10,0.384615384615,10.0,10.0,10.0,1610612750,Minnesota Timberwolves,MIN,Minnesota,8.84955978394,337,0.0,Defensive,2015,Reg
14,1,10.0,10,0.161290322581,1,0.0161290322581,9,0.145161290323,0.0,62,C,0.0322580645161,0.166666999459,Meyers,203086,Leonard,11,0.0,2,12,0.193548387097,0.0,8.33333333333,16.6666666667,1610612757,Portland Trail Blazers,POR,Portland,1.80994999409,338,10.0,Defensive,2015,Reg
15,243,47.8260869565,46,1.21052631579,22,0.578947368421,24,0.631578947368,9.52380952381,38,G,1.44736842105,0.873015999794,Kevin,2755,Martin,23,0.0,55,63,1.65789473684,9.52380952381,44.4444444444,17.4603174603,1610612750,Minnesota Timberwolves,MIN,Minnesota,27.2726993561,96,51.0869565217,Defensive,2015,Reg
