,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,169,48.0769230769,52,1.10638297872,25,0.531914893617,27,0.574468085106,5.35714285714,47,C-F,1.1914893617,1.0,Al,2744,Jefferson,25,0.0,56,56,1.1914893617,5.35714285714,50.0,1.78571428571,1610612766,Charlotte Hornets,CHA,Charlotte,11.067199707,88,48.0769230769,Defensive,2015,Reg
1,200,47.619047619,84,1.0243902439,40,0.487804878049,44,0.536585365854,3.1914893617,82,F-C,1.18292682927,1.03190994263,Al,201143,Horford,15,0.0,97,94,1.14634146341,2.12765957447,45.7446808511,7.44680851064,1610612737,Atlanta Hawks,ATL,Atlanta,8.15972042084,78,54.7619047619,Defensive,2015,Reg
2,83,42.8571428571,14,0.311111111111,6,0.133333333333,8,0.177777777778,6.25,45,F,0.288888888889,0.8125,Adreian,203940,Payne,33,6.25,13,16,0.355555555556,6.25,37.5,12.5,1610612750,Minnesota Timberwolves,MIN,Minnesota,8.88889026642,195,42.8571428571,Defensive,2015,Reg
3,278,88.8888888889,9,0.130434782609,8,0.115942028986,1,0.0144927536232,10.0,69,G,0.275362318841,1.89999997616,Aaron,201166,Brooks,0,10.0,19,10,0.144927536232,10.0,80.0,10.0,1610612741,Chicago Bulls,CHI,Chicago,2.45700001717,0,100.0,Defensive,2015,Reg
4,112,36.8421052632,19,0.231707317073,7,0.0853658536585,12,0.146341463415,12.5,82,F,0.256097560976,0.875,Al Farouq,202329,Aminu,8,0.0,21,24,0.292682926829,12.5,41.6666666667,8.33333333333,1610612757,Portland Trail Blazers,POR,Portland,3.31491994858,164,44.7368421053,Defensive,2015,Reg
5,226,46.8085106383,47,0.602564102564,22,0.282051282051,25,0.320512820513,8.77192982456,78,F,0.807692307692,1.10526001453,Aaron,203932,Gordon,0,0.0,63,57,0.730769230769,8.77192982456,47.3684210526,8.77192982456,1610612753,Orlando Magic,ORL,Orlando,9.16399002075,52,57.4468085106,Defensive,2015,Reg
6,272,60.0,10,0.357142857143,6,0.214285714286,4,0.142857142857,0.0,28,F-C,0.535714285714,1.5,Cristiano,1626245,Felicio,6,0.0,15,10,0.357142857143,0.0,60.0,0.0,1610612741,Chicago Bulls,CHI,Chicago,7.29927015305,4,75.0,Defensive,2015,Reg
7,20,42.8571428571,7,0.107692307692,3,0.0461538461538,4,0.0615384615385,10.0,65,G,0.0923076923077,0.600000023842,Deron,101114,Williams,8,10.0,6,10,0.153846153846,10.0,30.0,30.0,1610612742,Dallas Mavericks,DAL,Dallas,1.32801997662,256,42.8571428571,Defensive,2015,Reg
8,263,50.0,10,0.357142857143,5,0.178571428571,5,0.178571428571,0.0,28,G,0.464285714286,1.29999995232,Shelvin,202714,Mack,8,0.0,13,10,0.357142857143,0.0,50.0,0.0,1610612762,Utah Jazz,UTA,Utah,2.77008008957,15,65.0,Defensive,2015,Reg
9,123,50.0,8,0.333333333333,4,0.166666666667,4,0.166666666667,10.0,24,F,0.375,0.899999976158,Chris,1626191,McCullough,1,0.0,9,10,0.416666666667,10.0,50.0,10.0,1610612751,Brooklyn Nets,BKN,Brooklyn,6.9930100441,152,50.0,Defensive,2015,Reg
