,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,351,50.0,8,0.258064516129,4,0.129032258065,4,0.129032258065,18.1818181818,31,G,0.387096774194,1.09090995789,Alec,202692,Burks,10,0.0,12,11,0.354838709677,0.0,54.5454545455,9.09090909091,1610612762,Utah Jazz,UTA,Utah,4.50820016861,40,50.0,Defensive,2015,Reg
1,29,32.6086956522,46,0.978723404255,15,0.31914893617,31,0.659574468085,15.4929577465,47,C-F,0.914893617021,0.605633974075,Al,2744,Jefferson,25,4.22535211268,43,71,1.51063829787,15.4929577465,32.3943661972,23.9436619718,1610612766,Charlotte Hornets,CHA,Charlotte,14.0315999985,363,32.6086956522,Defensive,2015,Reg
2,181,46.2686567164,67,0.817073170732,31,0.378048780488,36,0.439024390244,7.22891566265,82,F,0.853658536585,0.843373000622,Al Farouq,202329,Aminu,8,2.40963855422,70,83,1.01219512195,7.22891566265,42.1686746988,14.4578313253,1610612757,Portland Trail Blazers,POR,Portland,11.464099884,210,46.2686567164,Defensive,2015,Reg
3,136,39.4366197183,142,1.73170731707,56,0.682926829268,86,1.0487804878,12.9943502825,82,F-C,1.71951219512,0.796609997749,Al,201143,Horford,15,3.38983050847,141,177,2.15853658537,11.2994350282,40.1129943503,10.1694915254,1610612737,Atlanta Hawks,ATL,Atlanta,15.3646001816,256,39.4366197183,Defensive,2015,Reg
4,86,33.3333333333,15,0.333333333333,5,0.111111111111,10,0.222222222222,21.7391304348,45,F,0.377777777778,0.739130020142,Adreian,203940,Payne,33,4.34782608696,17,23,0.511111111111,17.3913043478,39.1304347826,13.0434782609,1610612750,Minnesota Timberwolves,MIN,Minnesota,12.7777996063,306,33.3333333333,Defensive,2015,Reg
5,380,66.6666666667,15,0.217391304348,10,0.144927536232,5,0.0724637681159,16.6666666667,69,G,0.31884057971,1.222219944,Aaron,201166,Brooks,0,11.1111111111,22,18,0.260869565217,16.6666666667,61.1111111111,11.1111111111,1610612741,Chicago Bulls,CHI,Chicago,4.42259979248,12,66.6666666667,Defensive,2015,Reg
6,153,37.9310344828,58,0.74358974359,22,0.282051282051,36,0.461538461538,12.1212121212,78,F,0.692307692308,0.818181991577,Aaron,203932,Gordon,0,4.54545454545,54,66,0.846153846154,10.6060606061,40.9090909091,4.54545454545,1610612753,Orlando Magic,ORL,Orlando,10.6108999252,237,37.9310344828,Defensive,2015,Reg
7,391,70.0,10,0.454545454545,7,0.318181818182,3,0.136363636364,18.1818181818,22,G,0.727272727273,1.45455002785,Sean,203930,Kilpatrick,6,9.09090909091,16,11,0.5,9.09090909091,72.7272727273,0.0,1610612751,Brooklyn Nets,BKN,Brooklyn,9.24370002747,1,70.0,Defensive,2015,Reg
8,108,33.3333333333,9,0.272727272727,3,0.0909090909091,6,0.181818181818,15.3846153846,33,G,0.30303030303,0.769231021404,CJ,201228,Watson,32,0.0,10,13,0.393939393939,15.3846153846,38.4615384615,15.3846153846,1610612753,Orlando Magic,ORL,Orlando,6.37255001068,284,33.3333333333,Defensive,2015,Reg
9,386,66.6666666667,6,0.25,4,0.166666666667,2,0.0833333333333,41.6666666667,24,F,0.666666666667,1.33333003521,Chris,1626191,McCullough,1,0.0,16,12,0.5,41.6666666667,66.6666666667,8.33333333333,1610612751,Brooklyn Nets,BKN,Brooklyn,8.39161014557,6,66.6666666667,Defensive,2015,Reg
10,298,50.0,8,0.285714285714,4,0.142857142857,4,0.142857142857,25.0,28,F-C,0.428571428571,1.0,Cristiano,1626245,Felicio,6,8.33333333333,12,12,0.428571428571,25.0,50.0,16.6666666667,1610612741,Chicago Bulls,CHI,Chicago,8.75911998749,71,50.0,Defensive,2015,Reg
11,5,16.6666666667,6,0.12,1,0.02,5,0.1,16.6666666667,50,G,0.12,0.5,Tim,203501,Hardaway Jr.,10,0.0,6,12,0.24,8.33333333333,25.0,33.3333333333,1610612737,Atlanta Hawks,ATL,Atlanta,4.41175985336,382,16.6666666667,Defensive,2015,Reg
12,0,10.0,10,0.263157894737,1,0.0263157894737,9,0.236842105263,6.66666666667,38,G-F,0.0789473684211,0.20000000298,James,2592,Jones,1,0.0,3,15,0.394736842105,6.66666666667,13.3333333333,26.6666666667,1610612739,Cleveland Cavaliers,CLE,Cleveland,11.6279001236,392,10.0,Defensive,2015,Reg
13,41,37.5,8,0.19512195122,3,0.0731707317073,5,0.121951219512,21.4285714286,41,G,0.219512195122,0.642857015133,Norman,1626181,Powell,24,0.0,9,14,0.341463414634,21.4285714286,35.7142857143,21.4285714286,1610612761,Toronto Raptors,TOR,Toronto,5.49020004272,351,37.5,Defensive,2015,Reg
14,5,16.6666666667,6,0.0869565217391,1,0.0144927536232,5,0.0724637681159,16.6666666667,69,G,0.0869565217391,0.5,Jason,1891,Terry,31,0.0,6,12,0.173913043478,8.33333333333,25.0,33.3333333333,1610612745,Houston Rockets,HOU,Houston,2.89855003357,382,16.6666666667,Defensive,2015,Reg
15,3,37.5,8,0.121212121212,3,0.0454545454545,5,0.0757575757576,0.0,66,G,0.0909090909091,0.461537986994,Rashad,1626173,Vaughn,20,0.0,6,13,0.19696969697,0.0,23.0769230769,38.4615384615,1610612749,Milwaukee Bucks,MIL,Milwaukee,4.39189004898,389,37.5,Defensive,2015,Reg
16,1,12.5,16,0.307692307692,2,0.0384615384615,14,0.269230769231,4.34782608696,52,G,0.115384615385,0.260870009661,Jerryd,201573,Bayless,19,0.0,6,23,0.442307692308,4.34782608696,13.0434782609,26.0869565217,1610612749,Milwaukee Bucks,MIL,Milwaukee,4.81171989441,391,12.5,Defensive,2015,Reg
17,138,57.1428571429,7,0.291666666667,4,0.166666666667,3,0.125,10.0,24,G,0.333333333333,0.800000011921,Jared,203099,Cunningham,9,0.0,8,10,0.416666666667,0.0,40.0,20.0,1610612739,Cleveland Cavaliers,CLE,Cleveland,8.13008022308,250,57.1428571429,Defensive,2015,Reg
18,73,66.6666666667,6,0.206896551724,4,0.137931034483,2,0.0689655172414,0.0,29,C,0.275862068966,0.727272987366,Anderson,2760,Varejao,17,0.0,8,11,0.379310344828,9.09090909091,36.3636363636,36.3636363636,1610612739,Cleveland Cavaliers,CLE,Cleveland,7.58620977402,316,66.6666666667,Defensive,2015,Reg
19,64,36.3636363636,11,0.244444444444,4,0.0888888888889,7,0.155555555556,21.4285714286,45,G,0.222222222222,0.714286029339,Justin,1626147,Anderson,1,0.0,10,14,0.311111111111,21.4285714286,42.8571428571,0.0,1610612742,Dallas Mavericks,DAL,Dallas,8.0,326,36.3636363636,Defensive,2015,Reg
20,361,58.3333333333,12,0.75,7,0.4375,5,0.3125,29.4117647059,16,,1.1875,1.11765003204,Ryan,200797,Hollins,20,5.88235294118,19,17,1.0625,29.4117647059,64.7058823529,5.88235294118,1610612763,Memphis Grizzlies,MEM,Memphis,17.8946990967,31,58.3333333333,Defensive,2015,Reg
21,73,42.8571428571,7,0.159090909091,3,0.0681818181818,4,0.0909090909091,18.1818181818,44,G,0.181818181818,0.727272987366,Tyler,203898,Ennis,11,0.0,8,11,0.25,9.09090909091,36.3636363636,18.1818181818,1610612749,Milwaukee Bucks,MIL,Milwaukee,4.74138021469,316,42.8571428571,Defensive,2015,Reg
22,124,50.0,16,0.571428571429,8,0.285714285714,8,0.285714285714,4.34782608696,28,G,0.642857142857,0.782608985901,Shelvin,202714,Mack,8,0.0,18,23,0.821428571429,4.34782608696,39.1304347826,26.0869565217,1610612762,Utah Jazz,UTA,Utah,6.37119007111,267,50.0,Defensive,2015,Reg
23,45,30.7692307692,13,0.220338983051,4,0.0677966101695,9,0.152542372881,6.66666666667,59,G,0.169491525424,0.666666984558,Donald,202388,Sloan,15,0.0,10,15,0.254237288136,6.66666666667,33.3333333333,6.66666666667,1610612751,Brooklyn Nets,BKN,Brooklyn,3.16456007957,344,30.7692307692,Defensive,2015,Reg
24,80,42.8571428571,7,0.25,3,0.107142857143,4,0.142857142857,20.0,28,G,0.392857142857,0.7333329916,Kendall,203088,Marshall,5,6.66666666667,11,15,0.535714285714,6.66666666667,33.3333333333,40.0,1610612755,Philadelphia 76ers,PHI,Philadelphia,10.4167003632,311,42.8571428571,Defensive,2015,Reg
25,14,33.3333333333,12,0.307692307692,4,0.102564102564,8,0.205128205128,0.0,39,G,0.205128205128,0.533333003521,Gary,202390,Neal,14,0.0,8,15,0.384615384615,0.0,26.6666666667,20.0,1610612764,Washington Wizards,WAS,Washington,6.6964302063,378,33.3333333333,Defensive,2015,Reg
26,5,25.0,8,0.2,2,0.05,6,0.15,18.75,40,G,0.2,0.5,OJ,201564,Mayo,3,0.0,8,16,0.4,18.75,31.25,31.25,1610612749,Milwaukee Bucks,MIL,Milwaukee,4.77612018585,382,25.0,Defensive,2015,Reg
27,229,50.0,8,0.296296296296,4,0.148148148148,4,0.148148148148,10.0,27,F,0.333333333333,0.899999976158,Anthony,1626148,Brown,3,0.0,9,10,0.37037037037,10.0,50.0,10.0,1610612747,Los Angeles Lakers,LAL,LALakers,4.90195989609,163,50.0,Defensive,2015,Reg
28,153,40.0,10,0.434782608696,4,0.173913043478,6,0.260869565217,9.09090909091,23,F,0.391304347826,0.818181991577,Kostas,203123,Papanikolaou,16,0.0,9,11,0.478260869565,9.09090909091,45.4545454545,0.0,1610612743,Denver Nuggets,DEN,Denver,9.48276042938,237,40.0,Defensive,2015,Reg
29,153,44.4444444444,9,1.28571428571,4,0.571428571429,5,0.714285714286,9.09090909091,7,F,1.28571428571,0.818181991577,Michael,203077,Kidd-Gilchrist,14,0.0,9,11,1.57142857143,9.09090909091,45.4545454545,9.09090909091,1610612766,Charlotte Hornets,CHA,Charlotte,12.5,237,44.4444444444,Defensive,2015,Reg
30,90,28.5714285714,7,0.194444444444,2,0.0555555555556,5,0.138888888889,25.0,36,G,0.25,0.75,Kirk,2550,Hinrich,12,0.0,9,12,0.333333333333,25.0,41.6666666667,16.6666666667,1610612741,Chicago Bulls,CHI,Chicago,5.0209197998,299,28.5714285714,Defensive,2015,Reg
31,26,22.2222222222,9,0.147540983607,2,0.0327868852459,7,0.114754098361,20.0,61,G,0.147540983607,0.600000023842,Anthony,201627,Morrow,2,0.0,9,15,0.245901639344,20.0,33.3333333333,20.0,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,5.88234996796,364,22.2222222222,Defensive,2015,Reg
32,5,23.0769230769,13,0.232142857143,3,0.0535714285714,10,0.178571428571,16.6666666667,56,F,0.160714285714,0.5,James,201949,Johnson,3,0.0,9,18,0.321428571429,16.6666666667,27.7777777778,11.1111111111,1610612761,Toronto Raptors,TOR,Toronto,5.2023100853,382,23.0769230769,Defensive,2015,Reg
33,220,66.6666666667,12,0.857142857143,8,0.571428571429,4,0.285714285714,0.0,14,C,1.14285714286,0.888889014721,Henry,203156,Sims,14,0.0,16,18,1.28571428571,0.0,44.4444444444,33.3333333333,1610612751,Brooklyn Nets,BKN,Brooklyn,19.1488990784,170,66.6666666667,Defensive,2015,Reg
34,235,45.4545454545,11,0.44,5,0.2,6,0.24,9.09090909091,25,G,0.4,0.909090995789,Brandon,201943,Jennings,55,9.09090909091,10,11,0.44,9.09090909091,45.4545454545,0.0,1610612753,Orlando Magic,ORL,Orlando,7.0063700676,156,45.4545454545,Defensive,2015,Reg
35,235,45.4545454545,11,0.333333333333,5,0.151515151515,6,0.181818181818,0.0,33,G,0.30303030303,0.909090995789,Eric,202339,Bledsoe,2,0.0,10,11,0.333333333333,0.0,45.4545454545,0.0,1610612756,Phoenix Suns,PHX,Phoenix,2.50569009781,156,45.4545454545,Defensive,2015,Reg
36,298,50.0,10,0.178571428571,5,0.0892857142857,5,0.0892857142857,21.4285714286,56,G,0.25,1.0,Pablo,203143,Prigioni,9,0.0,14,14,0.25,21.4285714286,50.0,7.14285714286,1610612746,Los Angeles Clippers,LAC,LAClippers,5.03597021103,71,50.0,Defensive,2015,Reg
37,159,45.4545454545,11,0.268292682927,5,0.121951219512,6,0.146341463415,17.6470588235,41,G,0.341463414634,0.823529005051,Seth,203552,Curry,30,5.88235294118,14,17,0.414634146341,17.6470588235,41.1764705882,23.5294117647,1610612758,Sacramento Kings,SAC,Sacramento,7.76255989075,232,45.4545454545,Defensive,2015,Reg
38,62,25.0,12,0.203389830508,3,0.0508474576271,9,0.152542372881,23.5294117647,59,G,0.203389830508,0.705882012844,Markel,203900,Brown,22,0.0,12,17,0.28813559322,23.5294117647,41.1764705882,5.88235294118,1610612751,Brooklyn Nets,BKN,Brooklyn,5.1359500885,330,25.0,Defensive,2015,Reg
39,23,30.0,10,0.166666666667,3,0.05,7,0.116666666667,23.5294117647,60,G-F,0.166666666667,0.588235020638,Vince,1713,Carter,15,0.0,10,17,0.283333333333,5.88235294118,29.4117647059,17.6470588235,1610612763,Memphis Grizzlies,MEM,Memphis,5.555560112,369,30.0,Defensive,2015,Reg
40,12,38.4615384615,13,0.5,5,0.192307692308,8,0.307692307692,0.0,26,G,0.384615384615,0.52631598711,Justin,203200,Holiday,7,0.0,10,19,0.730769230769,0.0,26.3157894737,31.5789473684,1610612741,Chicago Bulls,CHI,Chicago,9.45273971558,380,38.4615384615,Defensive,2015,Reg
41,26,26.3157894737,19,1.11764705882,5,0.294117647059,14,0.823529411765,5.0,17,F,0.705882352941,0.600000023842,Elton,1882,Brand,42,0.0,12,20,1.17647058824,5.0,30.0,0.0,1610612755,Philadelphia 76ers,PHI,Philadelphia,14.7059001923,364,26.3157894737,Defensive,2015,Reg
42,354,80.0,5,0.131578947368,4,0.105263157895,1,0.0263157894737,30.0,38,F-C,0.289473684211,1.10000002384,Kevin,708,Garnett,21,10.0,11,10,0.263157894737,20.0,60.0,30.0,1610612750,Minnesota Timberwolves,MIN,Minnesota,5.23559999466,36,80.0,Defensive,2015,Reg
43,298,50.0,14,0.875,7,0.4375,7,0.4375,17.6470588235,16,,1.0625,1.0,Tim,204025,Frazier,2,5.88235294118,17,17,1.0625,11.7647058824,52.9411764706,5.88235294118,1610612740,New Orleans Pelicans,NOP,NewOrleans,10.3030004501,71,50.0,Defensive,2015,Reg
44,298,50.0,6,0.0983606557377,3,0.0491803278689,3,0.0491803278689,27.2727272727,61,G,0.180327868852,1.0,Ronnie,101179,Price,14,0.0,11,11,0.180327868852,18.1818181818,54.5454545455,18.1818181818,1610612756,Phoenix Suns,PHX,Phoenix,2.42290997505,71,50.0,Defensive,2015,Reg
45,354,50.0,6,0.157894736842,3,0.0789473684211,3,0.0789473684211,30.0,38,G,0.289473684211,1.10000002384,Maurice ,2590,Williams,52,10.0,11,10,0.263157894737,20.0,50.0,20.0,1610612739,Cleveland Cavaliers,CLE,Cleveland,4.0,36,50.0,Defensive,2015,Reg
46,80,27.2727272727,11,0.207547169811,3,0.0566037735849,8,0.150943396226,20.0,53,G,0.207547169811,0.7333329916,Ty,201951,Lawson,3,0.0,11,15,0.283018867925,20.0,40.0,6.66666666667,1610612745,Houston Rockets,HOU,Houston,4.20168018341,311,27.2727272727,Defensive,2015,Reg
47,31,33.3333333333,12,0.218181818182,4,0.0727272727273,8,0.145454545455,22.2222222222,55,G,0.2,0.611110985279,Sasha,2756,Vujacic,18,5.55555555556,11,18,0.327272727273,22.2222222222,33.3333333333,16.6666666667,1610612752,New York Knicks,NYK,NewYork,5.38922023773,357,33.3333333333,Defensive,2015,Reg
