,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,380,42.8571428571,21,1.75,9,0.75,12,1.0,7.69230769231,12,G,2.41666666667,1.11538004875,Alan,101187,Anderson,6,0.0,29,26,2.16666666667,3.84615384615,42.3076923077,11.5384615385,1610612764,Washington Wizards,WAS,Washington,34.6666984558,81,59.5238095238,Defensive,2015,Reg
1,43,34.693877551,49,1.04255319149,17,0.36170212766,32,0.68085106383,5.66037735849,47,C-F,0.851063829787,0.754716992378,Al,2744,Jefferson,25,3.77358490566,40,53,1.12765957447,5.66037735849,33.9622641509,5.66037735849,1610612766,Charlotte Hornets,CHA,Charlotte,10.4743003845,418,37.7551020408,Defensive,2015,Reg
2,168,35.7142857143,42,1.35483870968,15,0.483870967742,27,0.870967741935,7.69230769231,31,G,1.54838709677,0.923076987267,Alec,202692,Burks,10,0.0,48,52,1.67741935484,5.76923076923,36.5384615385,11.5384615385,1610612762,Utah Jazz,UTA,Utah,21.3115005493,291,48.8095238095,Defensive,2015,Reg
3,167,40.0,160,1.9512195122,64,0.780487804878,96,1.17073170732,1.78571428571,82,F-C,1.89024390244,0.922618985176,Al,201143,Horford,15,0.0,155,168,2.0487804878,1.78571428571,39.880952381,2.97619047619,1610612737,Atlanta Hawks,ATL,Atlanta,14.5832996368,294,46.875,Defensive,2015,Reg
4,190,37.9746835443,158,1.92682926829,60,0.731707317073,98,1.19512195122,3.97727272727,82,F,2.0243902439,0.943181991577,Al Farouq,202329,Aminu,8,1.13636363636,166,176,2.14634146341,3.97727272727,36.9318181818,7.38636363636,1610612757,Portland Trail Blazers,POR,Portland,24.3094005585,271,49.0506329114,Defensive,2015,Reg
5,119,35.8974358974,39,0.866666666667,14,0.311111111111,25,0.555555555556,6.81818181818,45,F,0.866666666667,0.886363983154,Adreian,203940,Payne,33,2.27272727273,39,44,0.977777777778,6.81818181818,36.3636363636,6.81818181818,1610612750,Minnesota Timberwolves,MIN,Minnesota,24.4444007874,342,47.4358974359,Defensive,2015,Reg
6,283,38.5542168675,83,1.20289855072,32,0.463768115942,51,0.739130434783,7.60869565217,69,G,1.36231884058,1.02173995972,Aaron,201166,Brooks,0,1.08695652174,94,92,1.33333333333,6.52173913043,40.2173913043,3.26086956522,1610612741,Chicago Bulls,CHI,Chicago,22.6044006348,178,51.8072289157,Defensive,2015,Reg
7,77,32.0652173913,184,2.35897435897,59,0.75641025641,125,1.60256410256,5.31400966184,78,F,2.19230769231,0.826086997986,Aaron,203932,Gordon,0,0.48309178744,171,207,2.65384615385,4.8309178744,31.884057971,6.28019323672,1610612753,Orlando Magic,ORL,Orlando,33.2797012329,384,43.2065217391,Defensive,2015,Reg
8,4,18.1818181818,11,0.392857142857,2,0.0714285714286,9,0.321428571429,0.0,28,F-C,0.178571428571,0.454544991255,Cristiano,1626245,Felicio,6,0.0,5,11,0.392857142857,0.0,18.1818181818,0.0,1610612741,Chicago Bulls,CHI,Chicago,8.02919960022,457,22.7272727273,Defensive,2015,Reg
9,11,23.5294117647,17,1.0625,4,0.25,13,0.8125,10.5263157895,16,G,0.75,0.631578981876,CJ,203912,Wilcox,30,0.0,12,19,1.1875,10.5263157895,26.3157894737,0.0,1610612746,Los Angeles Clippers,LAC,LAClippers,32.7585983276,450,32.3529411765,Defensive,2015,Reg
