,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,PP36,TSA,TS
0,14,1,2,4,1,0.25,14,7,0.5,4,4,1.0,"DEC 30, 2016",0021600493,WAS vs. BKN,32,0,1,12,19,202322,2,22016,4,6,1,W,21.375,15.76,0.602791878173
1,9,0,9,3,2,0.667,19,11,0.579,13,12,0.923,"DEC 28, 2016",0021600476,WAS vs. IND,39,2,4,5,36,202322,11,22016,2,5,1,W,33.2307692308,24.72,0.728155339806
2,16,2,1,4,1,0.25,19,8,0.421,2,1,0.5,"DEC 26, 2016",0021600461,WAS vs. MIL,42,2,2,10,18,202322,3,22016,2,7,1,W,15.4285714286,19.88,0.452716297787
3,10,0,3,3,0,0.0,18,8,0.444,2,2,1.0,"DEC 23, 2016",0021600447,WAS @ MIL,32,0,0,-14,18,202322,3,22016,1,3,1,L,20.25,18.88,0.476694915254
4,9,0,6,2,0,0.0,14,9,0.643,7,5,0.714,"DEC 21, 2016",0021600432,WAS @ CHI,36,0,2,2,23,202322,6,22016,3,2,1,W,23.0,17.08,0.673302107728
5,10,0,3,5,0,0.0,14,6,0.429,8,7,0.875,"DEC 19, 2016",0021600413,WAS @ IND,38,1,3,-2,19,202322,4,22016,2,4,1,L,18.0,17.52,0.542237442922
6,11,1,3,2,0,0.0,16,7,0.438,8,4,0.5,"DEC 18, 2016",0021600406,WAS vs. LAC,36,2,2,7,18,202322,5,22016,1,5,1,W,18.0,19.52,0.46106557377
7,11,0,2,4,4,1.0,14,8,0.571,12,9,0.75,"DEC 16, 2016",0021600389,WAS vs. DET,35,0,2,15,29,202322,2,22016,3,0,1,W,29.8285714286,19.28,0.752074688797
8,10,0,4,2,0,0.0,19,9,0.474,8,7,0.875,"DEC 14, 2016",0021600375,WAS vs. CHA,36,2,2,4,25,202322,6,22016,7,8,1,W,25.0,22.52,0.555062166963
9,8,1,4,5,1,0.2,26,12,0.462,6,5,0.833,"DEC 12, 2016",0021600363,WAS @ MIA,38,2,1,-14,30,202322,6,22016,1,5,1,L,28.4210526316,28.64,0.52374301676
10,11,1,4,4,1,0.25,20,8,0.4,8,7,0.875,"DEC 10, 2016",0021600346,WAS vs. MIL,39,0,3,0,24,202322,4,22016,2,4,1,W,22.1538461538,23.52,0.510204081633
11,5,1,6,4,0,0.0,14,5,0.357,6,5,0.833,"DEC 08, 2016",0021600332,WAS vs. DEN,38,1,2,9,15,202322,7,22016,3,5,1,W,14.2105263158,16.64,0.450721153846
12,8,0,3,8,5,0.625,31,18,0.581,14,11,0.786,"DEC 06, 2016",0021600315,WAS vs. ORL,42,1,3,-1,52,202322,4,22016,3,4,1,L,44.5714285714,37.16,0.699677072121
13,13,0,1,5,1,0.2,19,10,0.526,4,4,1.0,"DEC 05, 2016",0021600306,WAS @ BKN,36,0,0,6,25,202322,1,22016,3,4,1,W,25.0,20.76,0.602119460501
14,15,0,2,1,1,1.0,16,8,0.5,0,0,0.0,"DEC 02, 2016",0021600289,WAS @ SAS,37,0,1,7,17,202322,2,22016,3,3,1,L,16.5405405405,16.0,0.53125
15,15,1,3,7,2,0.286,20,6,0.3,2,1,0.5,"NOV 30, 2016",0021600270,WAS @ OKC,44,3,1,-11,15,202322,6,22016,1,3,1,L,12.2727272727,20.88,0.359195402299
