,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,GP,L,MIN,PAINT_TOUCHES,PLAYER_ID,PLAYER_NAME,POINTS,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_TOUCH,TEAM_ABBREVIATION,TEAM_ID,TIME_OF_POSS,TOUCHES,W
0,5.86,5.38,8,711,26,15,324.0,0,201985,A.J. Price,133,0,0.25,0.0,0.0,0.169,CLE,1610612739,70.6,787,11
1,5.73,5.19,27,3941,82,32,1885.0,9,201166,Aaron Brooks,954,19,0.333,0.556,0.316,0.22,CHI,1610612741,375.8,4345,50
2,1.11,1.62,32,646,47,33,797.0,33,203932,Aaron Gordon,243,36,0.188,1.273,1.111,0.223,ORL,1610612753,29.4,1088,14
3,0.42,1.45,98,605,32,25,740.0,55,203940,Adreian Payne,213,55,0.224,0.709,0.764,0.167,MIN,1610612750,30.8,1277,7
4,0.54,1.53,469,3052,76,20,2318.0,320,201143,Al Horford,1156,369,0.322,0.838,0.821,0.262,ATL,1610612737,112.7,4417,56
5,0.46,1.96,177,1945,65,40,1992.0,263,2744,Al Jefferson,1082,560,0.35,0.928,0.768,0.372,CHA,1610612766,95.2,2909,25
6,0.65,1.31,35,1091,74,29,1366.0,76,202329,Al-Farouq Aminu,412,107,0.429,0.737,0.682,0.216,DAL,1610612742,41.6,1910,45
7,1.29,2.16,35,1375,74,39,1744.0,51,101187,Alan Anderson,545,65,0.2,1.02,0.892,0.289,BKN,1610612751,67.8,1887,35
8,2.23,2.72,30,1565,27,18,899.0,7,202692,Alec Burks,374,11,0.333,0.571,0.182,0.212,UTA,1610612762,80.0,1761,9
9,1.22,2.19,0,14,5,3,14.0,1,203945,Alex Kirk,4,2,0.0,2.0,1.0,0.235,CLE,1610612739,0.6,17,2
10,0.24,1.15,122,928,69,34,1518.0,197,203458,Alex Len,432,243,0.115,0.883,0.794,0.198,PHX,1610612756,41.9,2184,35
11,3.12,3.51,19,1443,42,32,767.0,7,203144,Alexey Shved,434,7,0.684,1.0,1.0,0.256,NYK,1610612752,99.2,1698,10
12,0.47,1.66,198,788,68,27,957.0,144,201582,Alexis Ajinca,443,183,0.328,0.882,0.902,0.31,NOP,1610612740,39.6,1429,41
13,0.59,1.26,15,570,51,15,683.0,10,203459,Allen Crabbe,168,23,0.4,0.8,0.522,0.21,POR,1610612757,16.8,801,36
14,1.29,1.73,18,593,54,33,661.0,32,202087,Alonzo Gee,241,48,0.278,0.719,0.604,0.325,POR,1610612757,21.4,741,21
15,0.42,1.76,249,1116,58,39,1236.0,170,2405,Amar'e Stoudemire,680,206,0.281,0.988,0.951,0.329,DAL,1610612742,60.7,2065,19
16,0.4,1.21,189,1788,75,31,1979.0,254,101161,Amir Johnson,694,259,0.296,0.921,0.934,0.213,TOR,1610612761,65.7,3257,44
17,0.35,1.29,104,570,26,10,636.0,118,2760,Anderson Varejao,255,118,0.462,0.737,0.771,0.242,CLE,1610612739,22.7,1052,16
18,0.44,1.79,1,18,4,2,22.0,0,203958,Andre Dawkins,3,0,0.0,0.0,0.0,0.125,MIA,1610612748,0.7,24,2
19,0.5,1.41,158,1620,82,50,2502.0,461,203083,Andre Drummond,1130,567,0.108,0.922,0.829,0.37,DET,1610612765,71.8,3056,32
20,2.06,2.73,68,2792,77,13,2069.0,53,2738,Andre Iguodala,604,88,0.103,0.868,0.727,0.18,GSW,1610612744,152.2,3347,64
21,5.11,5.08,21,2678,81,37,1253.0,50,1889,Andre Miller,355,69,0.19,0.78,0.681,0.113,SAC,1610612758,267.2,3154,44
22,0.49,1.34,49,1066,67,26,1286.0,54,203460,Andre Roberson,228,76,0.102,0.667,0.474,0.15,OKC,1610612760,33.9,1520,41
23,0.4,1.79,193,985,29,24,785.0,74,200745,Andrea Bargnani,430,65,0.466,0.838,0.677,0.306,NYK,1610612752,41.7,1403,5
24,0.49,1.59,3,24,7,4,36.0,4,1905,Andrei Kirilenko,3,5,0.0,0.0,0.0,0.065,BKN,1610612751,1.2,46,3
25,0.68,1.76,180,1601,67,9,1583.0,201,101106,Andrew Bogut,422,238,0.183,0.96,0.807,0.149,GSW,1610612744,82.7,2823,58
26,0.33,1.22,51,457,40,26,492.0,31,203094,Andrew Nicholson,194,45,0.314,0.968,0.844,0.234,ORL,1610612753,16.8,829,14
27,1.32,2.22,279,2855,81,65,2937.0,173,203952,Andrew Wiggins,1372,273,0.573,0.873,0.714,0.392,MIN,1610612750,129.4,3496,16
28,0.3,1.13,130,754,56,44,885.0,76,203461,Anthony Bennett,296,84,0.331,0.776,0.726,0.167,MIN,1610612750,33.3,1773,12
29,0.57,1.83,487,2519,68,29,2455.0,277,203076,Anthony Davis,1656,314,0.452,1.195,1.172,0.414,NOP,1610612740,121.9,4002,39
30,0.74,1.56,99,1492,74,32,1806.0,20,201627,Anthony Morrow,790,30,0.384,0.65,0.633,0.44,OKC,1610612760,46.6,1796,42
31,0.26,1.15,90,1099,76,40,1433.0,27,201229,Anthony Tolliver,482,33,0.067,0.778,0.848,0.209,DET,1610612765,44.1,2307,36
32,3.15,3.51,19,859,41,25,535.0,15,203462,Archie Goodwin,231,17,0.579,0.6,0.647,0.22,PHX,1610612756,61.4,1050,16
33,0.35,1.32,6,39,6,6,68.0,15,202620,Arinze Onuaku,27,15,0.0,1.067,1.2,0.351,MIN,1610612750,1.7,77,0
34,0.29,1.23,99,887,70,21,1122.0,206,203382,Aron Baynes,461,253,0.253,1.063,1.032,0.306,SAS,1610612759,31.0,1508,49
35,1.8,2.4,84,2455,78,43,2502.0,46,201167,Arron Afflalo,1035,62,0.548,0.478,0.516,0.351,POR,1610612757,118.3,2951,35
36,0.78,1.54,13,410,34,17,344.0,5,201948,Austin Daye,129,6,0.692,0.0,0.333,0.217,ATL,1610612737,15.3,594,17
37,4.98,4.81,59,2275,76,30,1563.0,25,203085,Austin Rivers,530,30,0.22,0.92,0.967,0.206,LAC,1610612746,206.9,2579,46
38,1.72,2.07,154,2514,77,40,2428.0,80,202340,Avery Bradley,1071,89,0.597,0.963,0.865,0.351,BOS,1610612738,105.5,3052,37
39,2.57,3.04,27,872,56,39,790.0,4,2732,Ben Gordon,349,4,0.741,0.0,0.0,0.358,ORL,1610612753,49.3,974,17
40,1.31,1.93,127,2434,82,53,2670.0,60,203463,Ben McLemore,996,83,0.323,0.733,0.627,0.304,SAC,1610612758,105.4,3274,29
41,4.99,4.6,67,3238,79,24,1494.0,44,2757,Beno Udrih,605,46,0.418,0.682,0.652,0.163,MEM,1610612763,285.1,3717,55
42,0.39,1.38,12,91,16,10,158.0,29,203108,Bernard James,44,30,0.0,0.793,0.767,0.28,DAL,1610612742,3.6,157,6
43,0.29,1.27,46,491,64,38,1243.0,132,202687,Bismack Biyombo,304,163,0.348,0.871,0.804,0.289,CHA,1610612766,22.2,1053,26
44,1.03,1.94,806,3949,67,20,2356.0,324,201933,Blake Griffin,1469,370,0.301,0.738,0.681,0.268,LAC,1610612746,177.7,5486,47
45,1.21,1.84,53,1533,78,42,1854.0,98,202711,Bojan Bogdanovic,700,126,0.264,0.949,0.841,0.372,BKN,1610612751,57.8,1882,36
46,0.8,1.48,190,2791,81,26,1984.0,143,2564,Boris Diaw,708,233,0.126,0.706,0.562,0.163,SAS,1610612759,107.2,4355,55
47,2.03,2.52,152,2985,63,26,2107.0,41,203078,Bradley Beal,962,43,0.27,0.927,0.791,0.277,WAS,1610612764,146.1,3478,37
48,0.41,1.31,212,1003,75,38,1449.0,236,201148,Brandan Wright,544,228,0.269,1.14,1.092,0.291,PHX,1610612756,40.7,1867,37
49,0.67,1.69,271,1889,82,42,1929.0,218,101138,Brandon Bass,866,234,0.399,0.862,0.85,0.289,BOS,1610612738,84.3,2993,40
50,0.3,1.17,72,476,27,21,423.0,48,203561,Brandon Davies,142,50,0.194,0.479,0.52,0.169,PHI,1610612755,16.4,840,6
51,6.22,5.61,19,2776,41,24,1173.0,22,201943,Brandon Jennings,632,20,0.211,0.818,0.7,0.207,DET,1610612765,285.7,3057,17
52,5.48,4.82,66,3965,62,30,2000.0,27,202688,Brandon Knight,1050,42,0.348,0.556,0.69,0.23,PHX,1610612756,366.7,4568,32
53,1.16,1.76,1,268,33,6,271.0,2,201575,Brandon Rush,30,3,0.0,0.0,0.0,0.08,GSW,1610612744,11.0,375,27
54,0.53,1.83,10,76,22,8,119.0,18,2217,Brendan Haywood,35,28,0.0,1.0,0.75,0.269,CLE,1610612739,4.0,130,14
55,4.85,4.62,20,2832,72,42,1330.0,11,203148,Brian Roberts,480,9,0.2,0.818,0.778,0.158,CHA,1610612766,234.1,3041,30
56,0.44,1.63,373,1806,72,38,2100.0,330,201572,Brook Lopez,1236,380,0.413,1.039,0.982,0.432,BKN,1610612751,78.0,2864,34
57,1.93,2.13,1,29,8,1,23.0,2,203998,Bruno Caboclo,10,2,0.0,1.0,1.0,0.286,TOR,1610612761,1.2,35,7
58,5.27,4.59,4,359,15,6,159.0,2,203955,Bryce Cotton,80,2,0.0,1.0,1.0,0.204,UTA,1610612762,30.0,392,9
59,2.56,2.95,21,1085,62,25,973.0,11,203468,CJ McCollum,424,18,0.667,0.364,0.333,0.297,POR,1610612757,70.2,1427,37
60,0.96,1.63,173,2030,70,39,1841.0,59,101139,CJ Miles,942,71,0.474,0.932,0.648,0.375,IND,1610612754,68.5,2514,31
61,4.95,4.67,32,2984,57,32,1422.0,31,201228,CJ Watson,570,36,0.063,0.871,0.806,0.169,IND,1610612754,262.7,3377,25
62,1.63,2.21,5,112,21,6,101.0,0,203912,CJ Wilcox,41,1,0.6,0.0,2.0,0.315,LAC,1610612746,4.8,130,15
63,0.4,1.3,11,53,18,6,64.0,3,203946,Cameron Bairstow,10,5,0.0,0.0,0.0,0.114,CHI,1610612741,1.9,88,12
64,0.44,1.6,190,980,70,44,1192.0,147,201171,Carl Landry,503,188,0.253,0.925,0.989,0.302,SAC,1610612758,44.3,1664,26
65,0.43,1.58,459,1617,71,53,1692.0,227,2430,Carlos Boozer,836,253,0.318,0.89,0.905,0.27,LAL,1610612747,81.6,3098,18
66,1.5,2.68,288,2350,39,29,1400.0,83,2546,Carmelo Anthony,941,100,0.479,0.819,0.82,0.347,NYK,1610612752,121.0,2709,10
67,0.6,1.29,33,1511,78,48,1623.0,12,2406,Caron Butler,460,46,0.242,0.667,0.261,0.189,DET,1610612765,52.3,2440,30
68,0.97,1.57,4,162,23,16,198.0,6,201858,Cartier Martin,36,9,0.0,0.0,0.0,0.164,DET,1610612765,5.7,219,7
69,1.16,1.95,70,2637,66,25,2186.0,49,202718,Chandler Parsons,1037,58,0.457,1.143,0.897,0.282,DAL,1610612742,119.5,3676,41
70,0.22,1.04,86,1773,75,52,1870.0,24,101112,Channing Frye,549,28,0.105,0.375,0.464,0.15,ORL,1610612753,63.3,3663,23
71,0.36,1.11,22,154,29,12,255.0,44,101236,Charles Hayes,50,39,0.182,0.818,0.718,0.153,TOR,1610612761,6.0,326,17
72,0.32,1.11,35,702,64,27,678.0,14,101111,Charlie Villanueva,403,25,0.714,0.857,0.64,0.317,DAL,1610612742,23.6,1272,37
73,0.61,1.27,77,1153,66,58,1282.0,58,201978,Chase Budinger,455,69,0.273,0.724,0.768,0.271,MIN,1610612750,35.5,1682,8
74,0.28,1.3,132,661,59,33,1102.0,151,2365,Chris Andersen,308,157,0.121,1.119,1.083,0.211,MIA,1610612748,31.6,1459,26
75,0.59,2.02,439,2007,44,25,1556.0,124,2547,Chris Bosh,928,141,0.41,0.847,0.858,0.323,MIA,1610612748,96.4,2869,19
76,0.78,1.9,36,947,50,31,828.0,27,203142,Chris Copeland,309,49,0.444,0.593,0.408,0.261,IND,1610612754,37.5,1182,19
77,1.71,2.3,1,64,12,7,103.0,0,201604,Chris Douglas-Roberts,19,1,0.0,0.0,0.0,0.213,LAC,1610612746,3.4,89,5
78,0.73,1.66,8,497,29,20,527.0,14,203187,Chris Johnson,166,16,0.375,1.357,1.25,0.27,UTA,1610612762,17.0,614,9
79,0.47,1.47,267,1192,74,27,1398.0,188,2549,Chris Kaman,638,232,0.348,0.777,0.784,0.274,POR,1610612757,57.1,2328,47
80,5.06,4.99,183,6622,82,26,2857.0,24,101108,Chris Paul,1564,60,0.219,0.333,0.3,0.204,LAC,1610612746,639.1,7685,56
81,0.8,1.9,35,950,39,33,647.0,20,203921,Cleanthony Early,210,29,0.143,0.8,0.69,0.18,NYK,1610612752,36.9,1164,6
82,0.25,1.12,1,62,12,4,90.0,27,203991,Clint Capela,32,25,0.0,0.889,0.88,0.224,HOU,1610612745,2.7,143,8
83,0.4,1.18,231,1509,62,35,1487.0,128,203469,Cody Zeller,472,137,0.264,0.742,0.818,0.144,CHA,1610612766,64.5,3278,27
84,0.28,1.33,209,942,60,49,962.0,192,202332,Cole Aldrich,336,221,0.172,0.656,0.706,0.165,NYK,1610612752,44.9,2031,11
85,1.46,1.98,67,2475,79,37,2063.0,79,201147,Corey Brewer,899,107,0.313,0.709,0.626,0.307,HOU,1610612745,96.6,2933,42
86,0.38,1.18,48,353,50,32,531.0,68,203928,Cory Jefferson,183,77,0.25,0.779,0.649,0.214,BKN,1610612751,16.8,856,18
87,4.15,3.71,86,2858,79,26,1444.0,37,202709,Cory Joseph,535,54,0.198,1.081,0.704,0.161,SAS,1610612759,205.2,3317,53
88,1.36,2.11,122,2614,77,26,2354.0,36,201584,Courtney Lee,777,41,0.336,0.5,0.39,0.248,MEM,1610612763,110.2,3135,51
89,6.26,5.53,33,4103,82,45,1964.0,14,201571,D.J. Augustin,777,12,0.182,0.786,0.75,0.172,OKC,1610612760,416.8,4520,37
90,1.7,2.41,4,84,33,10,123.0,3,2563,Dahntay Jones,21,4,0.0,1.0,0.75,0.183,LAC,1610612746,4.6,115,23
91,5.46,5.36,74,6113,82,31,2925.0,38,203081,Damian Lillard,1720,51,0.324,0.737,0.863,0.241,POR,1610612757,636.4,7126,51
92,0.79,1.49,42,1012,68,40,1047.0,14,204014,Damjan Rudez,323,20,0.333,0.929,0.65,0.265,IND,1610612754,30.2,1217,28
93,1.23,2.25,71,1480,59,36,1426.0,33,201568,Danilo Gallinari,734,50,0.549,1.0,0.74,0.353,DEN,1610612743,77.9,2079,23
94,0.7,1.47,29,475,29,19,590.0,13,101122,Danny Granger,179,14,0.276,0.923,0.929,0.253,PHX,1610612756,17.3,708,10
95,1.01,1.8,43,2932,81,26,2312.0,50,201980,Danny Green,946,62,0.349,0.96,0.823,0.246,SAS,1610612759,115.4,3846,55
96,0.32,1.1,55,1014,66,29,1652.0,63,201967,Dante Cunningham,340,94,0.382,0.714,0.649,0.184,NOP,1610612740,33.9,1848,37
97,3.34,3.39,57,3296,82,44,1817.0,29,203957,Dante Exum,393,30,0.105,0.759,0.8,0.106,UTA,1610612762,209.5,3704,38
98,0.86,1.58,2,22,5,4,43.0,0,203121,Darius Miller,2,1,0.0,0.0,0.0,0.061,NOP,1610612740,0.9,33,1
99,6.22,5.65,2,611,38,24,299.0,6,202721,Darius Morris,83,6,0.0,0.0,0.0,0.125,BKN,1610612751,62.4,663,14
100,0.27,1.09,106,882,58,36,988.0,42,201589,Darrell Arthur,382,51,0.33,0.762,0.569,0.264,DEN,1610612743,26.3,1447,22
101,4.85,4.98,57,3241,45,29,1565.0,17,201954,Darren Collison,725,18,0.123,1.059,1.111,0.193,SAC,1610612758,312.1,3763,16
102,0.52,1.39,162,1203,49,12,904.0,118,101135,David Lee,388,142,0.315,0.966,0.951,0.2,GSW,1610612744,45.0,1944,37
103,5.55,4.97,0,67,3,2,33.0,0,204065,David Stockton,8,0,0.0,0.0,0.0,0.107,SAC,1610612758,6.2,75,1
104,0.19,0.84,2,8,2,2,7.0,0,204033,David Wear,0,0,0.0,0.0,0.0,0.0,SAC,1610612758,0.2,13,0
105,0.49,1.45,454,2409,66,34,1895.0,155,2561,David West,769,210,0.295,0.716,0.633,0.195,IND,1610612754,95.6,3950,32
