,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0021200369,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,7:13 PM
1,0,10,1,0021200369,Jump Ball Hibbert vs. Jefferson: Tip to Williams,,12:00,1,4,5,5,201579,Roy Hibbert,IND,Indiana,1610612754.0,Pacers,2744,Al Jefferson,UTA,Utah,1610612762.0,Jazz,2590,Mo Williams,UTA,Utah,1610612762.0,Jazz,,,,7:13 PM
2,41,5,3,0021200369,,,11:38,1,5,0,0,2590,Mo Williams,UTA,Utah,1610612762.0,Jazz,0,,,,,,0,,,,,,,,Williams Poss Lost Ball Turnover (P1.T1),7:13 PM
3,65,1,4,0021200369,Hibbert 9' Jump Hook Shot (2 PTS) (West 1 AST),,11:27,1,4,4,0,201579,Roy Hibbert,IND,Indiana,1610612754.0,Pacers,2561,David West,IND,Indiana,1610612754.0,Pacers,0,,,,,,0 - 2,2,,7:14 PM
4,1,2,5,0021200369,,,11:05,1,5,0,0,200794,Paul Millsap,UTA,Utah,1610612762.0,Jazz,0,,,,,,0,,,,,,,,MISS Millsap 19' Jump Shot,7:14 PM
5,0,4,6,0021200369,,,11:04,1,5,0,0,101107,Marvin Williams,UTA,Utah,1610612762.0,Jazz,0,,,,,,0,,,,,,,,Williams REBOUND (Off:1 Def:0),7:14 PM
6,1,2,7,0021200369,,,11:00,1,5,0,0,200751,Randy Foye,UTA,Utah,1610612762.0,Jazz,0,,,,,,0,,,,,,,,MISS Foye 26' 3PT Jump Shot,7:14 PM
7,0,4,8,0021200369,,,10:59,1,5,0,0,200794,Paul Millsap,UTA,Utah,1610612762.0,Jazz,0,,,,,,0,,,,,,,,Millsap REBOUND (Off:1 Def:0),7:14 PM
8,1,1,9,0021200369,,,10:54,1,5,5,0,2590,Mo Williams,UTA,Utah,1610612762.0,Jazz,200794,Paul Millsap,UTA,Utah,1610612762.0,Jazz,0,,,,,,3 - 2,-1,Williams 27' 3PT Jump Shot (3 PTS) (Millsap 1 AST),7:14 PM
9,1,2,10,0021200369,MISS Hill 20' Jump Shot,,10:39,1,4,0,0,201588,George Hill,IND,Indiana,1610612754.0,Pacers,0,,,,,,0,,,,,,,,,7:14 PM
10,0,4,11,0021200369,,,10:37,1,3,0,0,1610612762,,,,,,0,,,,,,0,,,,,,,,Jazz Rebound,7:14 PM
11,1,1,12,0021200369,,,10:25,1,5,5,0,200751,Randy Foye,UTA,Utah,1610612762.0,Jazz,2744,Al Jefferson,UTA,Utah,1610612762.0,Jazz,0,,,,,,5 - 2,-3,Foye 21' Jump Shot (2 PTS) (Jefferson 1 AST),7:15 PM
12,1,1,13,0021200369,Hibbert 17' Jump Shot (4 PTS) (Hill 1 AST),,10:03,1,4,4,0,201579,Roy Hibbert,IND,Indiana,1610612754.0,Pacers,201588,George Hill,IND,Indiana,1610612754.0,Pacers,0,,,,,,5 - 4,-1,,7:15 PM
13,1,1,14,0021200369,,,9:47,1,5,5,0,2590,Mo Williams,UTA,Utah,1610612762.0,Jazz,200794,Paul Millsap,UTA,Utah,1610612762.0,Jazz,0,,,,,,7 - 4,-3,Williams 14' Jump Shot (5 PTS) (Millsap 2 AST),7:15 PM
