,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
0,13,20,35,0.072,0.111,6,28,13,99.0,180,219,201985,AJ Price,28,1,MIN,1610612750,15
1,233,324,561,0.116,0.161,35,72,30,1557.0,2013,2480,201166,Aaron Brooks,455,56,DEN,1610612743,42
2,21,32,47,0.049,0.075,2,36,25,348.0,425,265,201189,Aaron Gray,47,9,SAC,1610612758,11
3,3,4,6,0.13,0.174,1,6,4,38.0,23,27,203519,Adonis Thomas,4,0,PHI,1610612755,2
4,27,38,61,0.049,0.069,1,33,13,497.0,552,546,1733,Al Harrington,46,10,WAS,1610612764,20
5,76,115,187,0.059,0.089,13,29,13,958.0,1298,1185,201143,Al Horford,165,26,ATL,1610612737,16
6,154,201,364,0.067,0.088,18,72,35,2517.0,2288,2610,2744,Al Jefferson,304,29,CHA,1610612766,37
7,114,166,255,0.059,0.087,21,80,47,2045.0,1917,1386,202329,Al-Farouq Aminu,225,31,NOP,1610612740,33
8,77,107,191,0.054,0.075,10,77,35,1745.0,1419,1498,101187,Alan Anderson,155,20,BKN,1610612751,42
9,212,297,494,0.073,0.102,27,78,54,2193.0,2923,3383,202692,Alec Burks,461,58,UTA,1610612762,24
10,4,9,12,0.01,0.023,2,42,18,362.0,399,228,203458,Alex Len,15,3,PHX,1610612756,24
11,68,94,159,0.104,0.143,8,63,35,664.0,657,829,203144,Alexey Shved,149,18,MIN,1610612750,28
12,40,51,90,0.035,0.045,3,56,34,951.0,1142,729,201582,Alexis Ajinca,78,8,NOP,1610612740,22
13,6,7,15,0.068,0.08,0,15,3,100.0,88,99,203459,Allen Crabbe,20,1,POR,1610612757,12
14,47,76,110,0.047,0.076,6,65,36,1020.0,1003,889,202087,Alonzo Gee,110,23,CLE,1610612739,29
15,34,46,84,0.029,0.039,2,65,39,1466.0,1166,1250,2405,Amar'e Stoudemire,86,10,NYK,1610612752,26
16,112,178,268,0.04,0.064,24,76,34,2181.0,2793,2246,101161,Amir Johnson,214,42,TOR,1610612761,42
17,140,190,335,0.051,0.069,22,65,40,1800.0,2764,1781,2760,Anderson Varejao,275,28,CLE,1610612739,25
18,106,127,262,0.056,0.067,8,72,33,1591.0,1895,1798,101154,Andray Blatche,204,13,BKN,1610612751,39
19,35,59,83,0.016,0.027,4,81,52,2619.0,2167,1108,203083,Andre Drummond,67,20,DET,1610612765,29
20,263,358,641,0.13,0.177,27,63,22,2040.0,2021,1861,2738,Andre Iguodala,441,68,GSW,1610612744,41
21,192,247,444,0.122,0.157,19,57,25,968.0,1578,1614,1889,Andre Miller,329,36,WAS,1610612764,32
22,15,23,32,0.047,0.072,2,40,10,399.0,320,222,203460,Andre Roberson,39,6,OKC,1610612760,30
23,45,62,106,0.036,0.05,1,42,27,1257.0,1243,1294,200745,Andrea Bargnani,106,16,NYK,1610612752,15
24,69,96,154,0.085,0.119,10,44,15,836.0,808,664,1905,Andrei Kirilenko,114,17,BKN,1610612751,29
25,111,161,268,0.051,0.075,12,66,27,1746.0,2158,1154,101106,Andrew Bogut,222,38,GSW,1610612744,39
26,29,35,62,0.071,0.086,0,26,15,516.0,409,428,101115,Andrew Bynum,43,6,IND,1610612754,11
27,25,36,63,0.024,0.035,0,76,57,1174.0,1035,856,203094,Andrew Nicholson,64,11,ORL,1610612753,19
28,0,1,0,0.0,0.021,0,6,6,45.0,48,18,2740,Andris Biedrins,0,1,UTA,1610612762,0
29,7,9,19,0.019,0.025,1,22,7,248.0,367,279,1712,Antawn Jamison,22,1,LAC,1610612746,15
30,17,31,38,0.02,0.036,3,52,32,663.0,854,601,203461,Anthony Bennett,40,11,CLE,1610612739,20
31,105,137,238,0.047,0.061,9,67,38,2358.0,2242,2178,203076,Anthony Davis,194,23,NOP,1610612740,29
32,59,77,138,0.074,0.096,8,76,44,1426.0,801,1098,201627,Anthony Morrow,97,10,NOP,1610612740,32
33,32,44,81,0.058,0.079,4,43,28,527.0,555,480,201576,Anthony Randolph,67,8,DEN,1610612743,15
34,41,64,103,0.035,0.054,6,63,31,1281.0,1186,1066,201229,Anthony Tolliver,92,17,CHA,1610612766,32
35,20,28,44,0.04,0.056,0,52,20,533.0,498,513,203462,Archie Goodwin,46,8,PHX,1610612756,32
36,3,3,4,0.097,0.097,0,5,3,30.0,31,12,202620,Arinze Onuaku,3,0,CLE,1610612739,2
37,2,4,4,0.01,0.019,0,12,12,187.0,209,135,203102,Arnett Moultrie,9,2,PHI,1610612755,0
38,34,52,74,0.068,0.103,4,53,12,491.0,503,440,203382,Aron Baynes,51,14,SAS,1610612759,41
39,248,319,583,0.085,0.109,19,73,52,2552.0,2921,3264,201167,Arron Afflalo,532,52,ORL,1610612753,21
40,8,15,17,0.034,0.064,0,22,6,148.0,233,201,201948,Austin Daye,20,7,SAS,1610612759,16
41,160,206,375,0.077,0.1,16,69,42,1339.0,2070,2464,203085,Austin Rivers,305,30,NOP,1610612740,27
42,85,128,193,0.047,0.071,8,60,41,1855.0,1807,2305,202340,Avery Bradley,207,35,BOS,1610612738,19
43,21,26,47,0.08,0.1,2,19,11,279.0,261,325,2732,Ben Gordon,35,3,CHA,1610612766,8
44,82,117,186,0.056,0.08,12,81,53,2169.0,1468,1648,203463,Ben McLemore,156,23,SAC,1610612758,28
45,116,148,272,0.092,0.118,14,41,23,643.0,1256,1295,2757,Beno Udrih,246,18,MEM,1610612763,18
46,3,8,9,0.029,0.078,1,30,13,146.0,103,62,203108,Bernard James,6,4,DAL,1610612742,17
47,8,20,20,0.013,0.032,3,76,35,1061.0,624,304,202687,Bismack Biyombo,29,9,CHA,1610612766,41
48,309,429,727,0.071,0.098,30,80,24,2863.0,4370,4163,201933,Blake Griffin,593,90,LAC,1610612746,56
49,222,288,523,0.071,0.093,28,79,19,1974.0,3109,2429,2564,Boris Diaw,436,38,SAS,1610612759,60
50,242,307,535,0.088,0.112,16,72,32,2494.0,2753,3582,203078,Bradley Beal,428,49,WAS,1610612764,40
51,31,42,76,0.036,0.049,2,58,22,1077.0,859,775,201148,Brandan Wright,78,9,DAL,1610612742,36
52,87,122,204,0.04,0.057,5,82,57,2266.0,2159,1999,101138,Brandon Bass,180,30,BOS,1610612738,25
53,28,41,61,0.04,0.059,2,51,36,575.0,699,518,203561,Brandon Davies,57,12,PHI,1610612755,15
54,609,813,1348,0.126,0.168,73,80,52,2728.0,4836,5797,201943,Brandon Jennings,1177,131,DET,1610612765,28
55,352,472,827,0.081,0.109,33,72,59,2400.0,4320,5325,202688,Brandon Knight,712,87,MIL,1610612749,13
56,24,34,58,0.055,0.078,2,38,25,418.0,438,385,201575,Brandon Rush,60,8,UTA,1610612762,13
57,234,298,532,0.082,0.105,26,72,44,1667.0,2849,3372,203148,Brian Roberts,450,38,NOP,1610612740,28
58,16,25,45,0.044,0.069,4,17,10,533.0,362,476,201572,Brook Lopez,38,5,BKN,1610612751,7
59,14,17,36,0.025,0.03,0,45,29,414.0,558,437,201957,Byron Mullens,30,3,PHI,1610612755,16
60,107,159,248,0.054,0.08,6,63,15,1193.0,1984,2168,201228,C.J. Watson,250,46,IND,1610612754,48
61,27,38,66,0.063,0.089,2,38,17,476.0,429,544,203468,CJ McCollum,52,9,POR,1610612757,21
62,52,62,124,0.067,0.08,5,51,30,984.0,774,1002,101139,CJ Miles,109,5,CLE,1610612739,21
63,5,9,11,0.02,0.035,0,18,13,233.0,254,189,201171,Carl Landry,15,4,SAC,1610612758,5
64,118,173,286,0.049,0.071,21,76,33,2141.0,2425,2358,2430,Carlos Boozer,225,34,CHI,1610612741,43
65,242,319,595,0.076,0.101,19,77,42,2982.0,3173,3883,2546,Carmelo Anthony,473,58,NYK,1610612752,35
66,82,119,196,0.054,0.079,7,55,34,1394.0,1510,1498,2406,Caron Butler,145,30,OKC,1610612760,21
67,4,6,9,0.105,0.158,1,7,5,38.0,38,45,203467,Carrick Felix,6,1,CLE,1610612739,2
68,33,53,80,0.044,0.07,1,59,32,870.0,757,764,201858,Cartier Martin,72,19,ATL,1610612737,27
69,10,17,22,0.049,0.083,2,9,6,116.0,204,230,203810,Casper Ware,20,5,PHI,1610612755,3
70,298,383,699,0.095,0.123,29,74,24,2783.0,3123,3278,202718,Chandler Parsons,513,56,HOU,1610612745,50
71,98,150,238,0.033,0.05,5,82,34,2312.0,2995,2280,101112,Channing Frye,183,47,PHX,1610612756,48
72,6,7,15,0.026,0.03,0,20,15,180.0,233,213,101111,Charlie Villanueva,16,1,DET,1610612765,5
73,31,48,73,0.058,0.089,5,41,20,751.0,537,606,201978,Chase Budinger,66,12,MIN,1610612750,21
74,42,62,98,0.092,0.135,6,19,12,309.0,459,477,1497,Chauncey Billups,81,14,DET,1610612765,7
75,19,33,45,0.017,0.03,5,72,23,1396.0,1092,618,2365,Chris Andersen,64,9,MIA,1610612748,49
76,3,6,7,0.027,0.053,1,14,11,132.0,113,92,203569,Chris Babb,6,2,BOS,1610612738,3
77,87,152,209,0.032,0.056,11,79,26,2531.0,2723,2582,2547,Chris Bosh,192,54,MIA,1610612748,53
78,18,22,44,0.072,0.088,1,41,16,265.0,249,269,203142,Chris Copeland,30,3,IND,1610612754,25
79,51,67,119,0.069,0.091,6,48,22,994.0,740,790,201604,Chris Douglas-Roberts,94,10,CHA,1610612766,26
80,31,47,69,0.048,0.073,2,40,29,789.0,640,641,203187,Chris Johnson,61,14,BOS,1610612738,11
